country;year;pop;continent; lifeExp ;gdpPercap
Bolivia;2007;9119152;Americas;65554;3822137084
Bosnia and Herzegovina;1952;2791000;Europe;5382;9735331948
Bosnia and Herzegovina;1957;3076000;Europe;5845;1353989176
Bosnia and Herzegovina;1962;3349000;Europe;6193;1709683679
Bosnia and Herzegovina;1967;3585000;Europe;6479;2172352423
Bosnia and Herzegovina;1972;3819000;Europe;6745;286016975
Bosnia and Herzegovina;1977;4086000;Europe;6986;3528481305
Bosnia and Herzegovina;1982;4172693;Europe;7069;4126613157
Bosnia and Herzegovina;1987;4338977;Europe;7114;4314114757
Bosnia and Herzegovina;1992;4256013;Europe;72178;2546781445
Bosnia and Herzegovina;1997;3607000;Europe;73244;4766355904
Bosnia and Herzegovina;2002;4165416;Europe;7409;6018975239
Bosnia and Herzegovina;2007;4552198;Europe;74852;7446298803
Botswana;1952;442308;Africa;47622;8512411407
Botswana;1957;474639;Africa;49618;9182325349
Botswana;1962;512764;Africa;5152;9836539764
Botswana;1967;553541;Africa;53298;1214709294
Botswana;1972;619351;Africa;56024;2263611114
Botswana;1977;781472;Africa;59319;3214857818
Botswana;1982;970347;Africa;61484;455114215
Botswana;1987;1151184;Africa;63622;620588385
Botswana;1992;1342614;Africa;62745;7954111645
Botswana;1997;1536536;Africa;52556;8647142313
Botswana;2002;1630347;Africa;46634;1100360508
Botswana;2007;1639131;Africa;50728;1256985177
Brazil;1952;56602560;Americas;50917;2108944355
Brazil;1957;65551171;Americas;53285;2487365989
Brazil;1962;76039390;Americas;55665;3336585802
Brazil;1967;88049823;Americas;57632;3429864357
Brazil;1972;100840058;Americas;59504;4985711467
Brazil;1977;114313951;Americas;61489;6660118654
Brazil;1982;128962939;Americas;63336;7030835878
Brazil;1987;142938076;Americas;65205;7807095818
Brazil;1992;155975974;Americas;67057;6950283021
Brazil;1997;168546719;Americas;69388;7957980824
Brazil;2002;179914212;Americas;71006;8131212843
Brazil;2007;190010647;Americas;7239;9065800825
Bulgaria;1952;7274900;Europe;596;2444286648
Bulgaria;1957;7651254;Europe;6661;3008670727
Bulgaria;1962;8012946;Europe;6951;4254337839
Bulgaria;1967;8310226;Europe;7042;55770028
Bulgaria;1972;8576200;Europe;709;6597494398
Bulgaria;1977;8797022;Europe;7081;7612240438
Bulgaria;1982;8892098;Europe;7108;8224191647
Bulgaria;1987;8971958;Europe;7134;8239854824
Bulgaria;1992;8658506;Europe;7119;6302623438
Bulgaria;1997;8066057;Europe;7032;597038876
Bulgaria;2002;7661799;Europe;7214;7696777725
Bulgaria;2007;7322858;Europe;73005;1068079282
Burkina Faso;1952;4469979;Africa;31975;5432552413
Burkina Faso;1957;4713416;Africa;34906;6171834648
Burkina Faso;1962;4919632;Africa;37814;7225120206
Burkina Faso;1967;5127935;Africa;40697;7948265597
Burkina Faso;1972;5433886;Africa;43591;8547359763
Burkina Faso;1977;5889574;Africa;46137;7433870368
Burkina Faso;1982;6634596;Africa;48122;8071985855
Burkina Faso;1987;7586551;Africa;49557;9120631417
Burkina Faso;1992;8878303;Africa;5026;9317527731
Burkina Faso;1997;10352843;Africa;50324;9462949618
Burkina Faso;2002;12251209;Africa;5065;1037645221
Burkina Faso;2007;14326203;Africa;52295;1217032994
Burundi;1952;2445618;Africa;39031;3392964587
Burundi;1957;2667518;Africa;40533;3795646281
Burundi;1962;2961915;Africa;42045;3552032273
Burundi;1967;3330989;Africa;43548;4129775136
Burundi;1972;3529983;Africa;44057;4640995039
Burundi;1977;3834415;Africa;4591;5561032651
Burundi;1982;4580410;Africa;47471;559603231
Burundi;1987;5126023;Africa;48211;6218188189
Burundi;1992;5809236;Africa;44736;6316998778
Burundi;1997;6121610;Africa;45326;4631151478
Burundi;2002;7021078;Africa;4736;4464035126
Burundi;2007;8390505;Africa;4958;4300706916
Cambodia;1952;4693836;Asia;39417;3684692856
Cambodia;1957;5322536;Asia;41366;4340383364
Cambodia;1962;6083619;Asia;43415;4969136476
Cambodia;1967;6960067;Asia;45415;5234323142
Cambodia;1972;7450606;Asia;40317;4216240257
Cambodia;1977;6978607;Asia;3122;5249721832
Cambodia;1982;7272485;Asia;50957;6244754784
Cambodia;1987;8371791;Asia;53914;6838955732
Cambodia;1992;10150094;Asia;55803;6823031755
Cambodia;1997;11782962;Asia;56534;73428517
Cambodia;2002;12926707;Asia;56752;8962260153
Cambodia;2007;14131858;Asia;59723;1713778686
Cameroon;1952;5009067;Africa;38523;1172667655
Cameroon;1957;5359923;Africa;40428;1313048099
Cameroon;1962;5793633;Africa;42643;1399607441
Cameroon;1967;6335506;Africa;44799;1508453148
Cameroon;1972;7021028;Africa;47049;1684146528
Cameroon;1977;7959865;Africa;49355;1783432873
Cameroon;1982;9250831;Africa;52961;2367983282
Cameroon;1987;10780667;Africa;54985;2602664206
Cameroon;1992;12467171;Africa;54314;1793163278
Cameroon;1997;14195809;Africa;52199;1694337469
Cameroon;2002;15929988;Africa;49856;1934011449
Cameroon;2007;17696293;Africa;5043;204209524
Canada;1952;14785584;Americas;6875;1136716112
Canada;1957;17010154;Americas;6996;1248995006
Canada;1962;18985849;Americas;713;1346248555
Canada;1967;20819767;Americas;7213;1607658803
Canada;1972;22284500;Americas;7288;1897057086
Canada;1977;23796400;Americas;7421;2209088306
Canada;1982;25201900;Americas;7576;2289879214
Canada;1987;26549700;Americas;7686;2662651503
Canada;1992;28523502;Americas;7795;2634288426
Canada;1997;30305843;Americas;7861;2895492589
Canada;2002;31902268;Americas;7977;3332896507
Canada;2007;33390141;Americas;80653;3631923501
Central African Republic;1952;1291695;Africa;35463;1071310713
Central African Republic;1957;1392284;Africa;37464;1190844328
Central African Republic;1962;1523478;Africa;39475;1193068753
Central African Republic;1967;1733638;Africa;41478;1136056615
Central African Republic;1972;1927260;Africa;43457;1070013275
Central African Republic;1977;2167533;Africa;46775;1109374338
Central African Republic;1982;2476971;Africa;48295;9567529907
Central African Republic;1987;2840009;Africa;50485;8448763504
Central African Republic;1992;3265124;Africa;49396;7479055252
Central African Republic;1997;3696513;Africa;46066;7405063317
Central African Republic;2002;4048013;Africa;43308;7386906068
Central African Republic;2007;4369038;Africa;44741;706016537
Chad;1952;2682462;Africa;38092;1178665927
Chad;1957;2894855;Africa;39881;1308495577
Chad;1962;3150417;Africa;41716;1389817618
Chad;1967;3495967;Africa;43601;1196810565
Chad;1972;3899068;Africa;45569;1104103987
Chad;1977;4388260;Africa;47383;113398495
Chad;1982;4875118;Africa;49517;7979081006
Chad;1987;5498955;Africa;51051;952386129
Chad;1992;6429417;Africa;51724;10580643
Chad;1997;7562011;Africa;51573;1004961353
Chad;2002;8835739;Africa;50525;115618186
Chad;2007;10238807;Africa;50651;1704063724
Chile;1952;6377619;Americas;54745;3939978789
Chile;1957;7048426;Americas;56074;4315622723
Chile;1962;7961258;Americas;57924;4519094331
Chile;1967;8858908;Americas;60523;5106654313
Chile;1972;9717524;Americas;63441;5494024437
Chile;1977;10599793;Americas;67052;4756763836
Chile;1982;11487112;Americas;70565;5095665738
Chile;1987;12463354;Americas;72492;5547063754
Chile;1992;13572994;Americas;74126;7596125964
Chile;1997;14599929;Americas;75816;1011805318
Chile;2002;15497046;Americas;7786;1077878385
Chile;2007;16284741;Americas;78553;1317163885
China;1952;5,56E+14;Asia;44;4,00E+14
China;1957;637408000;Asia;5054896;5759870009
China;1962;665770000;Asia;4450136;4876740183
China;1967;754550000;Asia;5838112;6127056934
China;1972;862030000;Asia;6311888;6769000921
China;1977;943455000;Asia;6396736;7412374699
China;1982;1000281000;Asia;65525;9624213805
China;1987;1084035000;Asia;67274;1378904018
China;1992;1164970000;Asia;6869;1655784158
China;1997;1230075000;Asia;70426;2289234136
China;2002;1280400000;Asia;72028;3119280896
China;2007;1318683096;Asia;72961;4959114854
Colombia;1952;12350771;Americas;50643;2144115096
Colombia;1957;14485993;Americas;55118;2323805581
Colombia;1962;17009885;Americas;57863;2492351109
Colombia;1967;19764027;Americas;59963;2678729839
Colombia;1972;22542890;Americas;61623;3264660041
Colombia;1977;25094412;Americas;63837;381580787
Colombia;1982;27764644;Americas;66653;4397575659
Colombia;1987;30964245;Americas;67768;49032191
Colombia;1992;34202721;Americas;68421;5444648617
Colombia;1997;37657830;Americas;70313;6117361746
Colombia;2002;41008227;Americas;71682;5755259962
Colombia;2007;44227550;Americas;72889;7006580419
Comoros;1952;153936;Africa;40715;1102990936
Comoros;1957;170928;Africa;4246;1211148548
Comoros;1962;191689;Africa;44467;1406648278
Comoros;1967;217378;Africa;46472;1876029643
Comoros;1972;250027;Africa;48944;1937577675
Comoros;1977;304739;Africa;50939;1172603047
Comoros;1982;348643;Africa;52933;1267100083
Comoros;1987;395114;Africa;54926;1315980812
Comoros;1992;454429;Africa;57939;124690737
Comoros;1997;527982;Africa;6066;1173618235
Comoros;2002;614382;Africa;62974;1075811558
Comoros;2007;710960;Africa;65152;9861478792
Congo Dem. Rep.;1952;14100005;Africa;39143;7805423257
Congo Dem. Rep.;1957;15577932;Africa;40652;9058602303
Congo Dem. Rep.;1962;17486434;Africa;42122;8963146335
Congo Dem. Rep.;1967;19941073;Africa;44056;8615932424
Congo Dem. Rep.;1972;23007669;Africa;45989;9048960685
Congo Dem. Rep.;1977;26480870;Africa;47804;795757282
Congo Dem. Rep.;1982;30646495;Africa;47784;6737478181
Congo Dem. Rep.;1987;35481645;Africa;47412;672774812
Congo Dem. Rep.;1992;41672143;Africa;45548;4577191807
Congo Dem. Rep.;1997;47798986;Africa;42587;312188423
Congo Dem. Rep.;2002;55379852;Africa;44966;2411658765
Congo Dem. Rep.;2007;64606759;Africa;46462;2775518587
Congo Rep.;1952;854885;Africa;42111;2125621418
Congo Rep.;1957;940458;Africa;45053;2315056572
Congo Rep.;1962;1047924;Africa;48435;2464783157
Congo Rep.;1967;1179760;Africa;5204;2677939642
Congo Rep.;1972;1340458;Africa;54907;3213152683
Congo Rep.;1977;1536769;Africa;55625;3259178978
Congo Rep.;1982;1774735;Africa;56695;4879507522
Congo Rep.;1987;2064095;Africa;5747;4201194937
Congo Rep.;1992;2409073;Africa;56433;4016239529
Congo Rep.;1997;2800947;Africa;52962;3484164376
Congo Rep.;2002;3328795;Africa;5297;348406197
Congo Rep.;2007;3800610;Africa;55322;3632557798
Costa Rica;1952;926317;Americas;57206;2627009471
Costa Rica;1957;1112300;Americas;60026;2990010802
Costa Rica;1962;1345187;Americas;62842;3460937025
Costa Rica;1967;1588717;Americas;65424;4161727834
Costa Rica;1972;1834796;Americas;67849;5118146939
Costa Rica;1977;2108457;Americas;7075;5926876967
Costa Rica;1982;2424367;Americas;7345;5262734751
Costa Rica;1987;2799811;Americas;74752;5629915318
Costa Rica;1992;3173216;Americas;75713;6160416317
Costa Rica;1997;3518107;Americas;7726;6677045314
Costa Rica;2002;3834934;Americas;78123;7723447195
Costa Rica;2007;4133884;Americas;78782;964506142
Cote d'Ivoire;1952;2977019;Africa;40477;1388594732
Cote d'Ivoire;1957;3300000;Africa;42469;1500895925
Cote d'Ivoire;1962;3832408;Africa;4493;1728869428
Cote d'Ivoire;1967;4744870;Africa;4735;2052050473
Cote d'Ivoire;1972;6071696;Africa;49801;2378201111
Cote d'Ivoire;1977;7459574;Africa;52374;2517736547
Cote d'Ivoire;1982;9025951;Africa;53983;2602710169
Cote d'Ivoire;1987;10761098;Africa;54655;2156956069
Cote d'Ivoire;1992;12772596;Africa;52044;1648073791
Cote d'Ivoire;1997;14625967;Africa;47991;1786265407
Cote d'Ivoire;2002;16252726;Africa;46832;1648800823
Cote d'Ivoire;2007;18013409;Africa;48328;1544750112
Croatia;1952;3882229;Europe;6121;311923652
Croatia;1957;3991242;Europe;6477;4338231617
Croatia;1962;4076557;Europe;6713;5477890018
Croatia;1967;4174366;Europe;685;6960297861
Croatia;1972;4225310;Europe;6961;9164090127
Croatia;1977;4318673;Europe;7064;1130538517
Croatia;1982;4413368;Europe;7046;1322182184
Croatia;1987;4484310;Europe;7152;1382258394
Croatia;1992;4494013;Europe;72527;8447794873
Croatia;1997;4444595;Europe;7368;9875604515
Croatia;2002;4481020;Europe;74876;1162838895
Croatia;2007;4493312;Europe;75748;1461922272
Cuba;1952;6007797;Americas;59421;558653878
Cuba;1957;6640752;Americas;62325;6092174359
Cuba;1962;7254373;Americas;65246;518075591
Cuba;1967;8139332;Americas;6829;5690268015
Cuba;1972;8831348;Americas;70723;5305445256
Cuba;1977;9537988;Americas;72649;6380494966
Cuba;1982;9789224;Americas;73717;7316918107
Cuba;1987;10239839;Americas;74174;7532924763
Cuba;1992;10723260;Americas;74414;5592843963
Cuba;1997;10983007;Americas;76151;5431990415
Cuba;2002;11226999;Americas;77158;6340646683
Cuba;2007;11416987;Americas;78273;8948102923
Czech Republic;1952;9125183;Europe;6687;687614025
Czech Republic;1957;9513758;Europe;6903;8256343918
Czech Republic;1962;9620282;Europe;699;1013686713
Czech Republic;1967;9835109;Europe;7038;1139944489
Czech Republic;1972;9862158;Europe;7029;131084536
Czech Republic;1977;10161915;Europe;7071;1480016062
Czech Republic;1982;10303704;Europe;7096;1537722855
Czech Republic;1987;10311597;Europe;7158;163104434
Czech Republic;1992;10315702;Europe;724;1429702122
Czech Republic;1997;10300707;Europe;7401;1604851424
Czech Republic;2002;10256295;Europe;7551;1759621022
Czech Republic;2007;10228744;Europe;76486;2283330851
Denmark;1952;4334000;Europe;7078;9692385245
Denmark;1957;4487831;Europe;7181;1109965935
Denmark;1962;4646899;Europe;7235;1358331351
Denmark;1967;4838800;Europe;7296;1593721123
Denmark;1972;4991596;Europe;7347;1886620721
Denmark;1977;5088419;Europe;7469;204229015
Denmark;1982;5117810;Europe;7463;2168804048
Denmark;1987;5127024;Europe;748;2511617581
Denmark;1992;5171393;Europe;7533;2640673985
Denmark;1997;5283663;Europe;7611;2980434567
Denmark;2002;5374693;Europe;7718;3216650006
Denmark;2007;5468120;Europe;78332;3527841874
Djibouti;1952;63149;Africa;34812;2669529475
Djibouti;1957;71851;Africa;37328;2864969076
Djibouti;1962;89898;Africa;39693;3020989263
Djibouti;1967;127617;Africa;42074;3020050513
Djibouti;1972;178848;Africa;44366;3694212352
Djibouti;1977;228694;Africa;46519;3081761022
Djibouti;1982;305991;Africa;48812;2879468067
Djibouti;1987;311025;Africa;5004;2880102568
Djibouti;1992;384156;Africa;51604;2377156192
Djibouti;1997;417908;Africa;53157;1895016984
Djibouti;2002;447416;Africa;53373;1908260867
Djibouti;2007;496374;Africa;54791;2082481567
Dominican Republic;1952;2491346;Americas;45928;1397717137
Dominican Republic;1957;2923186;Americas;49828;1544402995
Dominican Republic;1962;3453434;Americas;53459;1662137359
Dominican Republic;1967;4049146;Americas;56751;1653723003
Dominican Republic;1972;4671329;Americas;59631;2189874499
Dominican Republic;1977;5302800;Americas;61788;26819889
Dominican Republic;1982;5968349;Americas;63727;2861092386
Dominican Republic;1987;6655297;Americas;66046;2899842175
Dominican Republic;1992;7351181;Americas;68457;3044214214
Dominican Republic;1997;7992357;Americas;69957;3614101285
Dominican Republic;2002;8650322;Americas;70847;4563808154
Dominican Republic;2007;9319622;Americas;72235;6025374752
Ecuador;1952;3548753;Americas;48357;3522110717
Ecuador;1957;4058385;Americas;51356;3780546651
Ecuador;1962;4681707;Americas;5464;4086114078
Ecuador;1967;5432424;Americas;56678;4579074215
Ecuador;1972;6298651;Americas;58796;528099471
Ecuador;1977;7278866;Americas;6131;667962326
Ecuador;1982;8365850;Americas;64342;7213791267
Ecuador;1987;9545158;Americas;67231;6481776993
Ecuador;1992;10748394;Americas;69613;7103702595
Ecuador;1997;11911819;Americas;72312;7429455877
Ecuador;2002;12921234;Americas;74173;5773044512
Ecuador;2007;13755680;Americas;74994;6873262326
Egypt;1952;22223309;Africa;41893;1418822445
Egypt;1957;25009741;Africa;44444;1458915272
Egypt;1962;28173309;Africa;46992;1693335853
Egypt;1967;31681188;Africa;49293;1814880728
Egypt;1972;34807417;Africa;51137;2024008147
Egypt;1977;38783863;Africa;53319;2785493582
Egypt;1982;45681811;Africa;56006;3503729636
Egypt;1987;52799062;Africa;59797;388546071
Egypt;1992;59402198;Africa;63674;3794755195
Egypt;1997;66134291;Africa;67217;4173181797
Egypt;2002;73312559;Africa;69806;4754604414
Egypt;2007;80264543;Africa;71338;5581180998
El Salvador;1952;2042865;Americas;45262;30483029
El Salvador;1957;2355805;Americas;4857;3421523218
El Salvador;1962;2747687;Americas;52307;3776803627
El Salvador;1967;3232927;Americas;55855;4358595393
El Salvador;1972;3790903;Americas;58207;4520246008
El Salvador;1977;4282586;Americas;56696;5138922374
El Salvador;1982;4474873;Americas;56604;4098344175
El Salvador;1987;4842194;Americas;63154;4140442097
El Salvador;1992;5274649;Americas;66798;44442317
El Salvador;1997;5783439;Americas;69535;5154825496
El Salvador;2002;6353681;Americas;70734;5351568666
El Salvador;2007;6939688;Americas;71878;5728353514
Equatorial Guinea;1952;216964;Africa;34482;3756431231
Equatorial Guinea;1957;232922;Africa;35983;4260964081
Equatorial Guinea;1962;249220;Africa;37485;5828419714
Equatorial Guinea;1967;259864;Africa;38987;9155960025
Equatorial Guinea;1972;277603;Africa;40516;6724122571
Equatorial Guinea;1977;192675;Africa;42024;9585668124
Equatorial Guinea;1982;285483;Africa;43662;9278253427
Equatorial Guinea;1987;341244;Africa;45664;9668968149
Equatorial Guinea;1992;387838;Africa;47545;1132055034
Equatorial Guinea;1997;439971;Africa;48245;2814480755
Equatorial Guinea;2002;495627;Africa;49348;77034959
Equatorial Guinea;2007;551201;Africa;51579;1215408975
Eritrea;1952;1438760;Africa;35928;3289405571
Eritrea;1957;1542611;Africa;38047;3441618859
Eritrea;1962;1666618;Africa;40158;3809958433
Eritrea;1967;1820319;Africa;42189;4687949699
Eritrea;1972;2260187;Africa;44142;5143242082
Eritrea;1977;2512642;Africa;44535;5057538077
Eritrea;1982;2637297;Africa;4389;5248758493
Eritrea;1987;2915959;Africa;46453;5211341333
Eritrea;1992;3668440;Africa;49991;5828585102
Eritrea;1997;4058319;Africa;53378;91347079
Eritrea;2002;4414865;Africa;5524;7653500015
Eritrea;2007;4906585;Africa;5804;6413695236
Ethiopia;1952;20860941;Africa;34078;3621462796
Ethiopia;1957;22815614;Africa;36667;3789041632
Ethiopia;1962;25145372;Africa;40059;4194564161
Ethiopia;1967;27860297;Africa;42115;5161186438
Ethiopia;1972;30770372;Africa;43515;5662439442
Ethiopia;1977;34617799;Africa;4451;5568083834
Ethiopia;1982;38111756;Africa;44916;5778607471
Ethiopia;1987;42999530;Africa;46684;5737413142
Ethiopia;1992;52088559;Africa;48091;4213534653
Ethiopia;1997;59861301;Africa;49402;5158894013
Ethiopia;2002;67946797;Africa;50725;5300535319
Ethiopia;2007;76511887;Africa;52947;6908055759
Finland;1952;4090500;Europe;6655;6424519071
Finland;1957;4324000;Europe;6749;7545415386
Finland;1962;4491443;Europe;6875;9371842561
Finland;1967;4605744;Europe;6983;1092163626
Finland;1972;4639657;Europe;7087;143588759
Finland;1977;4738902;Europe;7252;1560542283
Finland;1982;4826933;Europe;7455;1853315761
Finland;1987;4931729;Europe;7483;2114101223
Finland;1992;5041039;Europe;757;2064716499
Finland;1997;5134406;Europe;7713;237239502
Finland;2002;5193039;Europe;7837;2820459057
Finland;2007;5238460;Europe;79313;332070844
France;1952;42459667;Europe;6741;7029809327
France;1957;44310863;Europe;6893;8662834898
France;1962;47124000;Europe;7051;1056048553
France;1967;49569000;Europe;7155;1299991766
France;1972;51732000;Europe;7238;1610719171
France;1977;53165019;Europe;7383;1829263514
France;1982;54433565;Europe;7489;2029389746
France;1987;55630100;Europe;7634;2206644214
France;1992;57374179;Europe;7746;2470379615
France;1997;58623428;Europe;7864;2588978487
France;2002;59925035;Europe;7959;2892603234
France;2007;61083916;Europe;80657;304700167
Gabon;1952;420702;Africa;37003;4293476475
Gabon;1957;434904;Africa;38999;4976198099
Gabon;1962;455661;Africa;40489;6631459222
Gabon;1967;489004;Africa;44598;8358761987
Gabon;1972;537977;Africa;4869;1140194841
Gabon;1977;706367;Africa;5279;2174557328
Gabon;1982;753874;Africa;56564;1511336194
Gabon;1987;880397;Africa;6019;1186440844
Gabon;1992;985739;Africa;61366;1352215752
Gabon;1997;1126189;Africa;60461;1472284188
Gabon;2002;1299304;Africa;56761;1252171392
Gabon;2007;1454867;Africa;56735;1320648452
Gambia;1952;284320;Africa;30;4852306591
Gambia;1957;323150;Africa;32065;5209267111
Gambia;1962;374020;Africa;33896;599650276
Gambia;1967;439593;Africa;35857;7347829124
Gambia;1972;517101;Africa;38308;7560868363
Gambia;1977;608274;Africa;41842;8847552507
Gambia;1982;715523;Africa;4558;8358096108
Gambia;1987;848406;Africa;49265;6116588611
Gambia;1992;1025384;Africa;52644;6656244126
Gambia;1997;1235767;Africa;55861;6537301704
Gambia;2002;1457766;Africa;58041;6605855997
Gambia;2007;1688359;Africa;59448;7527497265
Germany;1952;69145952;Europe;675;7144114393
